previous_id,content,source
wedding-prop-AA3F8MM6VNDCX5,"Car , checkered flag, tire, car parts",second
wedding-prop-A4TAQBKTB06BG-10,carbon neutral gift,initial
wedding-prop-A2XEAXWY9B2PZ9,card board movie cutout,second
wedding-prop-A248P03SBIGVNH8,cards,second
wedding-prop-AXVSC47AH61KI1,Carved Pumpkin,second
wedding-prop-A2LXPQS44US3903,cash,second
wedding-prop-A1BWR5RBQDZQ165,Casino Chips,second
wedding-prop-AS8BGRD5QFUTQ1,cassette tape,second
wedding-prop-A1H198MRIM37T15,Casual and Hip,second
wedding-prop-A1SC2RFB9W6BSG3,CDs,second
wedding-prop-AAEZQL4J6CQGM-9,celebration,initial
wedding-prop-A2MK1CWP0EJ8405,Celebrity,second
wedding-prop-A1I8HSDL5ZYHJ11,chalk,second
wedding-prop-A1LI3JQS2VBOXC2,Chapel,second
wedding-prop-ASF5V3K4IFP4K7,chef's hat,second
wedding-prop-A1V13RCLTAE1X4,Chips,second
wedding-prop-ANHTVHW3XY04Y6,Cigar,second
wedding-prop-A23H9Y6D4J1HFA4,Classic Children's Toys,second
wedding-prop-A3696JXTRKL2FI2,classic clothing,second
wedding-prop-A1ONILGBGJ8Y5K5,clicker,second
wedding-prop-A3W0JETVWCO4O91,Clothing,second
wedding-prop-A1IZ4NX41GKU4X-10,club,initial
wedding-prop-A1JPUM7KH3020K1,coconuts,second
wedding-prop-A3OW5EFQ5QFD191,cog,second
wedding-prop-62,coin,initial
wedding-prop-A1PT63J40GNSZF8,College Colors,second
wedding-prop-A1XMFODRPFWKJ72,colored sand,second
wedding-prop-A2EI075XZT9Y2S-3,Colors,initial
wedding-prop-58,comic,initial
wedding-prop-A367ZURE8LUTJV3,Computer,second
wedding-prop-AAJ1ZQECDZBEE3,condoms,second
wedding-prop-A1UURQF07IOXBO6,cookies,second
wedding-prop-A2E3TO92MCQ9XU5,Cookware and Ingredients,second
wedding-prop-7,costume,initial
wedding-prop-A2U2HC38IZKZFC15,cotton candy machine,second
wedding-prop-A1DP2L19BNZJ2Y1,Cowboy Boots,second
wedding-prop-A3N5L136KKW6AV1,cowboy hats,second
wedding-prop-A1O67YS3DU0ZHX8,Cowboy jeans,second
wedding-prop-A19F0UPKU4IT2P4,Crabs,second
wedding-prop-A248P03SBIGVNH4,crowns,second
wedding-prop-aaezql4j6cqgm6,tiaras,second
wedding-prop-A2OJMQGSQBEKEQ3,crystal ball,second
wedding-prop-A2LXPQS44US3905,cultural costume,second
wedding-prop-A1A3TGZ7DKJWRW5,cultural items,second
wedding-prop-A3096ZOP616ZIN9,cup,second
wedding-prop-A2A8HRBDYBV6XJ2,cupid arrows,second
